date,open,high,low,close
2018-10-24,8.4710222000,8.8052001400,8.3933064000,8.5798243200
2018-10-25,8.3933064000,8.7741138200,8.3233621800,8.7741138200
2018-10-26,8.7741138200,8.7896569800,8.5176516800,8.6886264400
2018-10-29,8.7041696000,8.7352559200,8.2534179600,8.3544485000
2018-10-30,8.3777632400,8.6109106400,8.3389053400,8.4710222000
2018-10-31,8.5098801000,8.5409664200,8.3544485000,8.4787937800
2018-11-01,8.5409664200,8.5875959000,8.3622200800,8.4166211400
2018-11-02,8.5798243200,8.6730832800,8.4166211400,8.6186822200
2018-11-05,8.5098801000,8.5798243200,8.4088495600,8.4865653600
2018-11-06,8.4477074600,8.4943369400,8.3389053400,8.4243927200
2018-11-07,8.4166211400,8.5098801000,8.3544485000,8.4010779800
2018-11-08,8.4554790400,8.5254232600,8.4088495600,8.4632506200
2018-11-09,8.3233621800,8.3389053400,8.0824432000,8.1990169000
2018-11-12,8.1290726800,8.2223316400,8.0669000400,8.2067884800
2018-11-13,8.0902147800,8.2767327000,8.0669000400,8.1912453200
2018-11-14,8.1834737400,8.1990169000,8.0979863600,8.1135295200
2018-11-15,8.1135295200,8.2689611200,8.0979863600,8.2534179600
2018-11-16,8.2456463800,8.3311337600,8.1523874200,8.2145600600
2018-11-19,8.2145600600,8.4554790400,8.2145600600,8.4321643000
2018-11-20,8.3544485000,8.3933064000,8.1757021600,8.2145600600
2018-11-21,8.1601590000,8.2922758600,8.1446158400,8.2456463800
2018-11-22,8.2922758600,8.2922758600,8.1446158400,8.1990169000
2018-11-23,8.1834737400,8.2223316400,8.0124989800,8.0202705600
2018-11-26,8.0358137200,8.1290726800,8.0047274000,8.0358137200
2018-11-27,8.0435853000,8.0746716200,7.8959252800,7.9114684400
2018-11-28,7.9036968600,8.0124989800,7.8959252800,7.9891842400
2018-11-29,8.0435853000,8.0746716200,7.9192400200,7.9270116000
2018-11-30,7.9425547600,8.0513568800,7.9036968600,8.0513568800
2018-12-03,8.2301032200,8.2845042800,8.1368442600,8.2301032200
2018-12-04,8.2145600600,8.2534179600,8.1834737400,8.2301032200
2018-12-05,8.1523874200,8.1679305800,8.0824432000,8.1213011000
2018-12-06,8.0513568800,8.0591284600,7.9503263400,7.9658695000
2018-12-07,8.0047274000,8.0746716200,7.9814126600,7.9891842400
2018-12-10,7.9425547600,7.9814126600,7.8726105400,7.9036968600
2018-12-11,7.9347831800,7.9736410800,7.9036968600,7.9503263400
2018-12-12,8.0047274000,8.0202705600,7.9270116000,7.9580979200
2018-12-13,7.9658695000,8.1446158400,7.9270116000,8.0746716200
2018-12-14,8.0358137200,8.0435853000,7.8959252800,7.9036968600
2018-12-17,7.8959252800,8.0280421400,7.8492958000,7.9969558200
2018-12-18,7.9270116000,8.0202705600,7.8492958000,7.8648389600
2018-12-19,7.8803821200,7.9114684400,7.6938642000,7.7249505200
2018-12-20,7.7094073600,7.7482652600,7.4840315400,7.5462041800
2018-12-21,7.5228894400,7.5384326000,7.2508841400,7.3441431000
2018-12-24,7.3052852000,7.3441431000,7.2353409800,7.3208283600
2018-12-25,7.2197978200,7.3285999400,7.1576251800,7.2586557200
2018-12-26,7.2664273000,7.3208283600,7.2042546600,7.2275694000
2018-12-27,7.3441431000,7.3752294200,7.2120262400,7.2120262400
2018-12-28,7.2353409800,7.3519146800,7.2353409800,7.2897420400
2019-01-02,7.2975136200,7.3208283600,7.1187672800,7.1420820200
2019-01-03,7.1343104400,7.2508841400,7.1109957000,7.2120262400
2019-01-04,7.1809399200,7.6316915600,7.1653967600,7.5772905000
2019-01-07,7.6472347200,7.6550063000,7.4840315400,7.5695189200
2019-01-08,7.5617473400,7.5695189200,7.4762599600,7.5073462800
2019-01-09,7.5695189200,7.8337526400,7.5384326000,7.7249505200
2019-01-10,7.6705494600,7.9270116000,7.6627778800,7.8492958000
2019-01-11,7.8570673800,7.9425547600,7.8104379000,7.9270116000
2019-01-14,7.9425547600,7.9658695000,7.8259810600,7.8570673800
2019-01-15,7.8570673800,7.9891842400,7.8415242200,7.9580979200
2019-01-16,7.9580979200,8.1601590000,7.9503263400,8.1446158400
2019-01-17,8.1912453200,8.2145600600,7.9036968600,7.9658695000
2019-01-18,8.0358137200,8.1523874200,7.9891842400,8.1057579400
2019-01-21,8.0358137200,8.1368442600,8.0202705600,8.0358137200
2019-01-22,8.0358137200,8.1135295200,7.9736410800,7.9891842400
2019-01-23,7.9969558200,8.1368442600,7.9969558200,8.0435853000
2019-01-24,8.0824432000,8.1990169000,8.0591284600,8.1757021600
2019-01-25,8.2067884800,8.5798243200,8.1990169000,8.5487380000
2019-01-28,8.5798243200,8.6575401200,8.4554790400,8.5021085200
2019-01-29,8.5176516800,8.6031390600,8.3699916600,8.5487380000
2019-01-30,8.5098801000,8.6886264400,8.4399358800,8.5098801000
2019-01-31,8.5331948400,8.7041696000,8.5021085200,8.6264538000
2019-02-01,8.7041696000,8.7430275000,8.5176516800,8.7041696000
2019-02-11,8.6109106400,8.7119411800,8.5254232600,8.7119411800
2019-02-12,8.7041696000,8.7896569800,8.5720527400,8.6963980200
2019-02-13,8.6963980200,8.8673727800,8.6419969600,8.8440580400
2019-02-14,8.7818854000,8.8052001400,8.6963980200,8.7430275000
2019-02-15,8.7274843400,8.7274843400,8.4710222000,8.5098801000
